OBJECTID,Shape__Area,Shape__Length,Name,Category,Cost,Description,Location,Manager,Email,Phase,Status,Contact,Completion
32,36998.5,844.9570901,Southside Community Center,New Facility Construction," $30,513,000 ",Construction and renovation of the Southside Regional Park and Community Center.  This project is partially funded through the American Rescue Plan Act (ARPA).,6255 Old Warwick Road,Heywood Harrison,Heywood.Harrison@rva.gov,Completed,The project has obtained substantial completion.  A ribbon cutting ceremony was held by the Mayor's office.,804-646-5608,Spring 2025
33,140085.9297,8274.497965,James River Branch Trail,Pedestrian and Bike," $12,700,000 ",Construction of a 20 foot wide shared-use path and greenway along the abandoned James River Branch Railroad corridor with a total length of 2 miles.,49th Street to Hopkins Road,Adel Edward,Adel.Edward@rva.gov,Construction,Currently under construction; expected to be complete by Winter 2026.,804-646-6584,December 2026
34,81498.26953,5162.285931,Jahnke Road Improvements,Road Improvements,"$36,488,000","Improvements to this section of Jahnke Road through the installation of a median with left turn lanes, curbs, gutters, sidewalks, shared use paths, landscaping, underground drainage system, and upgrades to existing traffic signals.",Jahnke Road from Blakemore Road to Forest Hill Avenue,Winston Phillips,Winston.Phillips@rva.gov,Construction,Construction started in February 2026.,804-646-5994,Summer 2028
35,217219.9023,8173.880411,State Route 161 Bicycle Infrastructure,Pedestrian and Bike,"$1,050,000",This project will create separated bike infrastructure on State Route 161 (Westover Hills Boulevard / 49th Street from James River Branch Trail to Boulevard Bridge; Park Drive from the Boulevard Bridge to Blanton Avenue and from Blanton Avenue to French Street).,Westover Hills Boulevard to Blanton Avenue,Afshin Famili,Afshin.Famili@rva.gov,TBD,No updates this quarter.,804-646-6334,TBD
36,5746.507813,856.6264958,Tredegar/Brown's Island Accessible Walk Improvements,Pedestrian and Bike,"$780,000","Provides an ADA accessible path along both sides of Tredegar St., between S. 5th Street and Brown’s Island Way, including ramps across Tredegar St. near Brown’s Island.",Tredegar Street from 5th Street to Brown's Island Way,Adel Edward,Adel.Edward@rva.gov,Construction,N/A,804-646-6584,Summer 2025
37,731.2617188,188.869909,East Broad Street Ravine Bridge Replacement,Bridge Repair,"$3,966,000",Design and construction for the replacement of the East Broad Street Bridge over the abandoned CSX railroad and ravine.,1509 E. Broad Street,John Kim,John.Kim@rva.gov,Pre-Construction,Project is expected to be advertised for bidding in the coming months.,804-646-5684,TBD
38,36738.89453,2276.667799,Shockoe Valley Street Improvements/I-95 Broad Street Area Improvements,Road Improvements,"$50,000,000","Improvements near the Broad Street/I-95 interchange, including 4 new roundabouts, 1 traffic signal, and traffic conversions from one way to two way roads on Oliver Hill Way and 17th Street.",Various Streets,Adel Edward,Adel.Edward@rva.gov,Planning/Design,N/A,804-646-6584,Summer 2029
40,56822.89453,2390.729475,Leigh Street Streetscape,Road Improvements,"$6,608,000","Roadway, drainage, utility, pedestrian and bicycle improvements.",Leigh Street from 4th Street to Martin Luther King Bridge,Yongping Wang,Yongping.Wang@rva.gov,Pre-Construction,N/A,804-646-2467,TBD
45,569244.5742,11722.16904,Fall Line Trail - Walmsley Boulevard to Bellemeade Road ,Pedestrian and Bike," $15,702,000 ",Construction of a 10 foot shared use path to connect Richmond Highway at Walmsley Boulevard to Bellemeade Road at Commerce Road.,Richmond Highway to Commerce Road,Mohamed Benomar,Mohamed.Benomar@rva.gov,Planning/Design,"Advancing into final design. The design scope and fee are fully approved, and coordination is underway with VDOT, DPU Utilities, and CVTA to address the current funding gap while design proceeds. Updated cost estimates are under review.",804-987-7545,Late 2028
46,27170.46484,1109.306553,Deepwater Terminal Road Connector to Goodes Street,Road Improvements,"$9,500,000",Design and construction to extend Deepwater Terminal Road 0.69 miles north to Goodes Street. The project will consist of a two-lane roadway with shoulders and drainage ditches.,Deepwater Terminal Road to Goodes Street,Adel Edward,Adel.Edward@rva.gov,Planning/Design,Currently waiting on final (100%) design plans and utility relocation to be completed. We will then request VDOT authorization to advertise the project for bidding.,804-646-6584,December 2027
47,10575.48828,938.1317839,Maury Street Streetscape,Road Improvements,"$4,618,000","This 0.25 mile corridor will bring complete street and operational/safety improvements to Maury Street from the planned and funded I-95 Roundabout Interchange Project gateway feature to Commerce Road, a major principal arterial, for better access to the Richmond Marine Terminal land uses.",Maury Street from 4th Street to Commerce Road,Olayinka Bruce,Olayinka.Bruce@rva.gov,Planning/Design,60% Design completion,804-646-2312,Fall 2030
48,16105.00781,1605.056226,Hull Street Streetscape - Mayo Bridge to 9th Street,Pedestrian and Bike,"$5,500,000","Landscaping, signage, and lighting; incorporation of pedestrian safety infrastructure and pedestrian-activated crosswalks; new/reconfigured intersections at 1st and 2nd Streets; managing traffic speeds; and maintaining capacity.",Hull Street from Mayo Bridge to 9th Street,Winston Phillips,Winston.Phillips@rva.gov,Pre-Construction,Project will be advertised for bidding in Spring 2026.,804-646-5994,Summer 2027
49,29874.95703,1583.992202,Richmond Highway Improvements -  Phase II,Road Improvements,"$13,242,000","Construction of dedicated left-turn lanes for adjoining streets in both directions its intersections with Decatur Street and Maury Street, adding pedestrian signal control accommodations and crossing improvements at Decatur, Stockton, and Maury, filling in missing sidewalk for ADA compliance, consolidating/eliminating unnecessary driveway entrances, and providing bike, pedestrian & transit access improvements along the corridor.",Richmond Highway from Maury Street to Hull Street,Winston Phillips,Winston.Phillips@rva.gov,Planning/Design,Next phase is right of way acquisition.,804-646-6339,Summer 2028
50,87205.65625,4525.451523,Richmond Highway Improvements,Road Improvements," $15,325,000 ","Improvement of the intersection at Hopkins Road and Richmond (formerly Jefferson Davis) Highway. The scope will focus on the re-alignment of the intersection, a new traffic signal and improved pedestrian accommodations.",Richmond Highway from Chesterman Avenue to Decatur Street,Winston Phillips,Winston.Phillips@rva.gov,Construction,Construction is 45% complete.,804-646-5994,Fall 2026
51,2384.792969,367.1549421,Hull Street over Manchester Canal Bridge Replacement,Bridge Repair,"$10,775,000",Design and construction of the replacement of the Hull Street over Manchester Canal Bridge.,Hull Street from 1st Street to Manchester Road,Thomas Westbrook,Thomas.Westbrook@rva.gov,Pre-Construction,Project is expected to be advertised for bidding in the coming months.,804-646-3421,TBD
52,5975.988281,684.4976373,Lombardy Street CSX Bridge Replacement ,Bridge Repair,"$13,613,000 ",Design and construction of replacement for the Lombardy Street Bridge over CSX Railroad.,Lombardy Street from Leigh Street to Admiral Street,Thomas Westbrook,Thomas.Westbrook@rva.gov,Planning/Design,N/A,804-646-3421,Fall 2029
53,19023.46094,1712.50902,Mayo Bridge Replacement,Bridge Repair,"$90,000,000",Replacement of the historic Mayo Bridge.,14th Street from Dock Street to Manchester Road,Thomas Westbrook,Thomas.Westbrook@rva.gov,Planning/Design,N/A,804-646-3421,TBD
54,10375.07813,1974.16555,Virginia Capital Trail Connector to Brown's Island,Pedestrian and Bike,"$801,600","Provides an improved connection from the Virginia Capital Trail (VCT) to the Potterfield Memorial Bridge located on Brown’s Island, via the Canal Walk in downtown Richmond.",Virginia Capital Trail to Brown's Island,Winston Phillips,Winston.Phillips@rva.gov,Pre-Construction,Project is in award phase.,804-646-6584,Summer 2026
58,5906.097656,337.5991253,"Semmes Avenue, Forest Hill Avenue, and Dundee Avenue Pedestrian Safety Improvements",Pedestrian and Bike," $1,624,600 ","Design and construction of the pedestrian safety and operational needs within the existing school zone at the intersection of Semmes Ave, Forest Hill Ave, and Dundee Ave.","Semmes Avenue, Forest Hill Avenue, and Dundee Avenue",Yongping Wang,Yongping.Wang@rva.gov,Construction,N/A,804-646-2467,Winter 2026
61,119735.8906,1432.269283,Biotech Research Park Roadway Improvements,Road Improvements,"$4,399,000","Street, traffic, and streetscape improvements related to the Biotechnology Research Park.",800 E Leigh Street,Yongping Wang,Yongping.Wang@rva.gov,Planning/Design,Project is in the planning/design phase; currently working on 90% design plans.,804-646-2467,TBD
62,84718.69531,1273.297858,Hotchkiss Community Center Enhancements,Facility Maintenance,"$1,075,000","Improvements include replacement and repair of plumbing fixtures throughout, replacement of the gymnasium and weight room HVAC systems, as well as other structural and safety repairs.  Several delays occurred during the renovation of the center including issues with the contractor and complications discovered due to the age and condition of the facility.",701 E Brookland Park Boulevard,Heywood Harrison,Heywood.Harrison@rva.gov,Completed,Project complete; staff have moved back into building.,804-646-5608,N/A
63,1231.894531,149.3061071,Route 5/Williamsburg Road Intersection Improvement,Road Improvements,"$3,987,284","Design, right-of-way acquisition, and construction to improve the intersection at East Main Street and Williamsburg Avenue with new sidewalks, landscaping and signal.",Williamsburg Road @ E. Main Street,Winston Phillips,Winston.Phillips@rva.gov,Construction,Project is on schedule for completion next year.,804-646-5994,Fall 2026
64,25200.46875,640.5273827,Kanawha Plaza Pedestrian Safety Improvements,Pedestrian and Bike,"$3,309,000","Includes enhanced pedestrian crossings, pedestrian refuges, continuous pedestrian routes and improved traffic channelization to reduce the potential for collisions near Kanawha Plaza.",8th Street @ E. Canal Street,Yongping Wang,Yongping.Wang@rva.gov,Planning/Design,Currently working on final design plan submission for project.,804-646-2467,TBD
65,264549.7031,2445.315463,Byrd Park Reservoir Rehabilitation Project,Water,"$71,390,438",Replacement of the roofing cover system on the 55 million gallon finished water reservoir that provides potable water to the City of Richmond and portions of Henrico and Hanover counties.,600 S Arthur Ashe Boulevard,Ricky Hatfield,Ricky.Hatfield@rva.gov,Construction,"Work on the Southwell is complete, moving on to pouring concrete for the remaing walls. Goal is East tank completion in Janurary 2026",804-646-1933,Fall 2028
93,1543701.039,6011.4923,Street Paving - Colonial Place Area,Road Improvements,"$1,037,279",Paving and restoration of streets.,Various streets in the Colonial Place neighborhood,Kenny Horak,Kenneth.Horak@rva.gov,Construction,1/2 complete; waiting on DPU to finish gas work in area.,804-646-4781,TBD
102,119407.8203,3079.007598,The Shockoe Project,New Facility Construction,"$33,900,966","Planning, designing, acquiring land for, and construction of a multi-use enslaved African cultural and heritage park-like campus that will surround the future National Slavery Museum in Shockoe Bottom.","Shockoe Valley of Richmond, Virginia, from the foot of Church Hill on the east, to the base of Shockoe Hill on the west. The planning area is along both sides of Broad Street, adjacent to Interstate 95 at the eastern edge of downtown Richmond.",Jeannie Welliver/Martin West,Jeannie.Welliver@rva.gov,Planning/Design,"The Shockoe institute will open spring 2026. Shockoe Hill burying ground design should be finalized next year. Memorial ground under design currently. Lumpkins Jail is under design, doing geolocation to find exact location. Construction hopefully late 2026",804-646-7322,TBD
103,28774.47266,2810.146145,Science Museum BRT Shared Use Path,Pedestrian and Bike,"$2,992,000",Development of a paved bicycle and pedestrian connection and shared-use path.,"Broad Street at Robinson Street, to Terminal Place, to Leigh Street, and to Altamont Avenue in Scott’s Addition.",Yongping Wang,Yongping.Wang@rva.gov,Planning/Design,N/A,804-646-2467,TBD
104,2405.386719,199.7169297,Percent for Art - Alice Fitz Community Garden,Public Art,"$30,000","Providing the garden with a shelter, seating, tool storage and water catchment system, this project will serve as a community showcase and enhance the functionality and aesthetic impact of this community garden.",1301 Perry St,Monica Kinsey,Monica.Kinsey@rva.gov,Construction,Community garden installation is nearing completion.,804-646-3303,Summer 2024
106,354.1132813,78.19208792,Percent for Art - Charles S. Gilpen Community Garden,Public Art,"$30,000","Nature-inspired wrought iron details will enhance a garden gateway, tool storage and seating structure for this community gathering spot.",1420 St. Peter St,Monica Kinsey,Monica.Kinsey@rva.gov,Construction,Sculpture fabrication is underway. On-site installation will take place in September.,804-646-3303,TBD
107,190.9609375,55.80176701,Percent for Art - Fire Station #12,Public Art,"$170,000",The project integrates art into Fire Station #12 that works in harmony with the building’s function and complements the neighborhood’s history. The iconic form of a fire ladder inspired the sculptural component of the installation and historic photographs from the area will be used as inspiration for artist renderings located on the glass portions of the façade.,2223 West Cary St,Monica Kinsey,Monica.Kinsey@rva.gov,Completed,N/A,804-646-3303,N/A
108,522.9140625,91.61671113,Percent for Art - Hillside Court Playground,Public Art,"$69,000","This three-part sculpture includes a stylized commemoration of the three-year old victim of gun violence at the apartment complex, multiple climbing and seating structures for playground visitors and felted toys embedded within the climbing structures referencing a toy box.",1500 Harwood St,Monica Kinsey,Monica.Kinsey@rva.gov,Pre-Construction,N/A,804-646-3303,Fall 2025
109,840.8789063,118.8056945,Percent for Art - Southside Community Center Skatepark,Public Art,"$179,000","The multifunctional architecture will provide a skate-able structure connected directly to the skatepark itself, as well as providing seating and shade amenities to park visitors.",6255 Old Warwick Rd,Monica Kinsey,Monica.Kinsey@rva.gov,Completed,N/A,804-646-3303,N/A
110,2980.683594,252.4920405,Percent for Art - Southside Community Center,Public Art,"$200,000",The sculpture will consist of two sets of 28 feet tall cloud/rain structures that evoke rain and visualize the water cycle to complement the near-by water management systems that are being installed along the front perimeter of the park surrounding the community center.,6255 Old Warwick Rd,Monica Kinsey,Monica.Kinsey@rva.gov,Planning/Design,N/A,804-646-3303,Fall 2026
111,22534.58984,1915.709297,Combined Sewer Overflow Improvement - Williamsburg Avenue,Sewer,"$17,039,000","Installation of a larger pipe that will hold more combined sewer system volume and infrastructure that will control flow, reducing the number of combined sewer overflow events and volume.  This project is funded through the American Rescue Plan Act (ARPA).",Williamsburg Avenue between Stony Run Road and East Main Street,Robert Stone,Robert.Stone@rva.gov,Planning/Design,N/A,804-646-8557,TBD
112,8412.667969,372.5744226,Lucks Field Community Center,New Facility Construction,"$20,000,000",Development of a new Community Center.  This project is funded through the American Rescue Plan Act (ARPA).,1501 N 20th Street,Lynne Lancaster,Lynne.Lancaster@rva.gov,Completed,N/A,804-646-6006,N/A
114,6704.179688,647.5664194,Arthur Ashe Boulevard Bridge Replacement,Bridge Repair," $35,000,000 ",Design and construction of a replacement bridge for the current Arthur Ashe Boulevard over CSX Transportation (CSXT) Railroad Bridge.,Arthur Ashe Boulevard over CSX Transportation (CSXT) Railroad,Yongping Wang,Yongping.Wang@rva.gov,Planning/Design,"Working toward final plan submission, goal is to advertise project for bids this summer.",804-646-2467,TBD
115,84290.05469,6511.895456,Cary Street Safety Curb Extensions,Pedestrian and Bike,"$503,000",Installation of pedestrian safety intersection curb extensions at stop controlled intersections.,West Cary Street between Belvidere Street and Arthur Ashe Boulevard,Afshin Famili,Afshin.Famili@rva.gov,Construction,N/A,804-646-6334,Spring 2026
116,34827.48828,2349.537865,Fall Line Trail - Commerce Road (Phase I),Pedestrian and Bike,"$12,441,000","Multimodal safety and operational improvements including access management, turn lane improvements, bike lanes, sidewalks, shared-use paths, and other streetscape amenities.",Commerce Road from the Manchester Bridge to Decatur Street,Thomas Westbrook,Thomas.Westbrook@rva.gov,Planning/Design,Project is in design phase.,804-646-3421,TBD
118,1757.4375,168.4530842,Fire Station 21 Replacement,New Facility Construction,"$16,392,743 ","Replacement of the existing Fire Station 21 building, located at 2505 Richmond Highway, with a new facility.",2505 Richmond Highway,Dexter Goode,Louis.Goode@rva.gov ,Completed,"Construction is complete.  Misc. Items being procured.  Ribbon Cutting was held on November 10, 2025.",804-646-7531,N/A
119,9630.835938,407.1411195,First Police Precinct Replacement,New Facility Construction," $17,740,573 ","Replacement of the existing First Police Precinct building, currently located at 2501 Q Street, with a new facility.",1701 Fairfield Way,Lynne Lancaster,Lynne.Lancaster@rva.gov,Construction,95% complete.,804-646-6006,Winter 2025
120,4659.402344,605.1231818,Forest Hill Avenue Pedestrian Safety Improvements,Pedestrian and Bike,"$554,711","Reduction of pedestrian crossing distances along this urban arterial utilizing traffic calming measures on Forest Hill Avenue at 41st Street and 43rd Street, gaining greater pedestrian stopping/yielding compliance by motorists, and resolving vehicle conflicts to improve traffic flow.",Forest Hill Avenue at 41st Street and 43rd Street,Afshin Famili,Afshin.Famili@rva.gov,Pre-Construction,N/A,804-646-6334,Spring 2026
121,45300.26953,2654.035864,Hull Street Improvements Phase II: Chippenham Parkway to Hey Road,Road Improvements,"$26,000,000","Road improvements including a raised median, turn lanes, curbs, gutters, bike lanes, new sidewalks, shared use paths, street lighting and an underground drainage system.",Hull Street from Chippenham Parkway to Hey Road,Adel Edward,Adel.Edward@rva.gov,Planning/Design,Notice to Proceed (NTP) has been given to contractor to start design; surveying has already started.,804-646-6584,Summer 2029
122,43425.96094,2571.905801,Hull Street Improvements Phase III: Warwick Road to Arizona Drive,Road Improvements,"$29,500,000","Road improvements including a raised median, turn lanes, curbs, gutters, bike lanes, new sidewalks, shared use paths, street lighting and an underground drainage system.",Hull Street from Warwick Road to Arizona Drive,Adel Edward,Adel.Edward@rva.gov,Planning/Design,30% design plans and value engineering has been completed for this project. Next step is the 60% design phase. RSTP funding has been requested to supplement construction costs.,804-646-6584,Summer 2029
136,40360.56641,2409.765424,Street Paving - Williamsburg Avenue,Road Improvements,"$319,140",Paving and restoration of streets.,Williamsburg Avenue from East Main Street to Nicholson Street,Kenny Horak,Kenneth.Horak@rva.gov,Pre-Construction,On hold; waiting on DPU to complete work in area.,804-646-4781,TBD
137,8720.0625,1109.100517,Nicholson Street Streetscape,Pedestrian and Bike," $2,486,899 ","Pedestrian safety improvements including sidewalks, landscaping, lighting, street side parking and intersection and pedestrian safety improvements at Williamsburg Avenue.",Nicholson Street between Williamsburg Avenue and East Main Street,Thomas Moore,Thomas.Moore1@rva.gov,Planning/Design,N/A,804-646-2720,Winter 2027
139,86093.04688,6352.21266,Main Street Safety Curb Extensions,Pedestrian and Bike,"$484,000",Installation of pedestrian safety intersection curb extensions at stop controlled intersections.,West Main Street between Belvidere Street and Arthur Ashe Boulevard,Afshin Famili,Afshin.Famili@rva.gov,Construction,N/A,804-646-6334,Spring 2026
140,6038.214844,948.932546,Highland Grove/Dove Street Redevelopment,Pedestrian and Bike,"$14,770,000","Infrastructure improvements supporting the Richmond Redevelopment and Housing Authority (RRHA)’s development of the former Dove Street Redevelopment Area, which included construction of 139 residential units. The project includes planning, design, and improvements to right-of-way, streets, sidewalks, landscaping, streetscape and ornamental lighting, water and sewer and connection fees, and other utilities that will be designed and constructed by RRHA and approved by the City of Richmond.",Dove Street from Richmond-Henrico Turnpike to 1st Avenue,Merrick Malone,Merrick.Malone@rva.gov,Construction,"90% completed as of FY26 Q1. Vertical construction has begun on the site. Of the 125 homes planned, 60 will be income restricted: 30 homes to be sold to buyers earning less than 120% of AMI; and 30 homes will be sold to buyers earning less then 80% of AMI.",804-646-7426,TBD
141,4802.757813,1029.84134,Jefferson Avenue Improvements,Pedestrian and Bike,"$6,839,000","Improvements to the Jefferson Avenue corridor, reconstructing a portion of the 1/3-mile corridor to include traffic calming, pedestrian and bicycle infrastructure, and green infrastructure.",Jefferson Avenue from Leigh Street to 21st Street,Yongping Wang,Yongping.Wang@rva.gov,Planning/Design,Project is in the planning/design phase; currently working on 90% design plans.,804-646-2467,TBD
143,745.6679688,176.0295832,Government Road Slope Repair,Road Improvements," $8,800,000 ",Installation of a 5’ sidewalk on the south side of Government Road and improvements to the City Dog Park entrance by adding a defined pedestrian crosswalk with ADA accessibility. This project also includes pavement reconstruction and stabilization to eliminate street failure.,Government Road near Chimborazo Park & N. 36th St./Church Hill Dog Park,Winston Phillips,Winston.Phillips@rva.gov,Pre-Construction,Construction expected to start Spring 2026.,804-646-5994,Spring 2027
146,237.6328125,61.71922987,Hull Street at 29th Street - Pedestrian Hybrid Beacon Installation,Pedestrian and Bike,"$346,409",Installation of a Pedestrian Hybrid Beacon (PHB) traffic signal device.,Intersection of Hull Street and 29th Street,Payenda Anwari,Payenda.Anwari@rva.gov,Pre-Construction,Project is in the process of being awarded.,804-646-5402,Spring 2026
148,457.5234375,152.7117237,Lynhaven Avenue over Broad Rock Creek Bridge Replacement,Bridge Repair,"$1,100,000",Replacement of the Lynhaven Avenue over Broad Rock Creek Bridge.,Lynhaven Avenue,Thomas Westbrook,Thomas.Westbrook@rva.gov,Pre-Construction,N/A,804-646-3421,Winter 2026
162,1520929.66,5089.884951,Parks Improvement Projects - Bryan Park,Parks & Recreation,"$750,000",Renovations to keeper's house & bathroom upgrades for nature center.,4308 Hermitage Rd,Heywood Harrison,Heywood.Harrison@rva.gov,Construction,Refining the scope for the Keeper's House.  The Nature Center renovations are underway,804-646-5608,Winter 2025
163,71346.71094,1071.847105,Parks Improvement Projects - Fonticello Park,Parks & Recreation,"$1,750,000",Master Plan implementation.,2813 Bainbridge St,Allen McCown,allen.mccown@rva.gov,Pre-Construction,Bathhouse awarded and in mobilization phase with Bofam.  Work will begin in winter.,804-646-5949,TBD
164,3535.566406,240.0717203,Parks Improvement Projects - Humphrey Calder Community Center,Parks & Recreation,"$750,000",Building improvements & exterior court resurfacing,414 N Thompson St,Allen McCown,allen.mccown@rva.gov,Construction,New playground equipment nearing completion.,804-646-5949,TBD
165,1604.1875,163.3124943,Parks Improvement Projects - Smith Peters Park,Parks & Recreation,"$350,000",Court resurfacing & playground,904 Catherine St,Allen McCown,allen.mccown@rva.gov,Construction,Working with operations team for walking trail and additional fence measures along back side of park.  Basketball court resurfacing and new fencing has been completed.,804-646-5949,TBD
166,1784.71875,173.6685252,Parks Improvement Projects - Westover Hills Community Center,Parks & Recreation,"$750,000","Exterior improvements (parking, bathroom, trails).",1301 Jahnke Rd,Ryan Rinn,ryan.rinn@rva.gov,Planning/Design,Final comments on Construction Package back to Timmons.  Proceeding with Internal departmental reviews.  Invitation for Bids to follow.,804-646-4347,TBD
167,1544.28125,163.3040567,"Blanton Avenue, Garrett Street, and Park Drive Pedestrian & Vehicular Safety Improvements",Road Improvements,"$100,000","Improve intersection geometrics, replace impervious asphalt with green infrastructure, and provide positive guidance for motor vehicles and bicycles traveling through the intersection.","Intersection of Blanton Ave, Garrett St, and Park Dr",Afshin Famili,Afshin.Famili@rva.gov,Planning/Design,N/A,804-646-6334,Summer 2026
168,22933.6875,3052.50049,Fall Line Trail - Bryan Park Segment,Pedestrian and Bike,"$3,000,000",Construction of a 10' wide asphalt multi-use path navigating primarily within the boundaries of Bryan Park.,Bryan Park Avenue to Bellevue Avenue,Adel Edward,Adel.Edward@rva.gov,Construction,Construction started in January 2026; expected to be completed by end of 2026.,804-646-6584,October 2026
169,10682.81641,432.3190961,Parks Improvement Projects - Whitcomb Court,Parks & Recreation,"$1,200,000","Implementation of the first phase of the Whitcomb Court Master Plan, which includes constrcution of basketball courts, a playground, and other park amenities.",2100 Sussex St,Daniel Hazlett,daniel.hazlett@rva.gov,Pre-Construction,"Invitation to Bid documents are ready to be submitted, pending the establishment of an accounting string for grant funds.",804-646-7506,Winter 2026
170,1346.003906,305.638703,Scott's Addition Green Space,Pedestrian and Bike,"$1,106,000",Construction of a pedestrian/bike trail in the Scott’s Addition neighborhood.,Patton Avenue from Summit Avenue to Altamont Avenue,Olayinka Bruce,Olayinka.Bruce@rva.gov,Planning/Design,Next phase is advertisement and construction.,804-646-2312,Summer 2027
171,39435.53906,942.7035164,Brown's Island Improvements,Parks & Recreation,"$30,000,000","Implementation of the Brown's Island Improvement Plan, which includes developing river and canal terraces, play spaces for children, more trees and landscaping, more ADA accessibility and other pedestrian improvements, shade, seating, and drinking water, and permanent restrooms, among other amenities.",Brown's Island,Nissa Richardson,Nissa.Richardson@rva.gov,Construction,Project construction began in December 2025.  Briefly interrupted due to winter storms but work has resumed.,804-646-5619,TBD
